name,need
Simple Integral Additivity,Simple Functions
Simple Integral Additivity,Set Operations
Simple Functions,Characteristic Functions
Set Operations,Algebras
Characteristic Functions,Real Functions
Algebras,Operations
Real Functions,Functions
Real Functions,Intervals
Operations,Functions
Functions,Relations
Functions,Set Specification
Intervals,Real Numbers
Relations,Ordered Pairs
Set Specification,Set Extension
Real Numbers,Integer Numbers
Ordered Pairs,Sets
Set Extension,Identity
Set Extension,Sets
Integer Numbers,Solving Equations
Sets,Objects
Identity,Objects
Solving Equations,Arithmetic
Solving Equations,Equations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
Natural Numbers,Functions
