name,need
Digital Symbols,Digital Integers
Digital Integers,Digital Naturals
Digital Integers,Integer Numbers
Digital Naturals,Bit Strings
Digital Naturals,Natural Numbers
Integer Numbers,Equivalence Relations
Integer Numbers,Natural Numbers
Bit Strings,Codes
Bit Strings,Lists
Bit Strings,Natural Powers
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Equivalence Relations,Partitions
Equivalence Relations,Relations
Codes,Dot-Dash Code
Lists,Direct Products
Lists,Family Unions and Intersections
Lists,Set Numbers
Natural Powers,Natural Products
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Set Differences,Set Specification
Successor Sets,Pair Unions
Partitions,Set Intersections
Partitions,Set Unions
Relations,Set Products
Dot-Dash Code,Flash Code
Direct Products,Families
Family Unions and Intersections,Families
Family Unions and Intersections,Generalized Set Dualities
Family Unions and Intersections,Set Unions and Intersections
Set Numbers,Finite Sets
Natural Products,Natural Sums
Pair Unions,Set Unions
Set Intersections,Pair Intersections
Set Specification,Set Inclusion
Set Unions,Empty Set
Set Unions,Unordered Pairs
Set Products,Ordered Pairs
Set Products,Set Powers
Flash Code,Alphabets
Families,Functions
Generalized Set Dualities,Intersection of Empty Set
Generalized Set Dualities,Set Dualities
Set Unions and Intersections,Pair Intersections
Set Unions and Intersections,Pair Unions
Finite Sets,Equivalent Sets
Natural Sums,Recursion Theorem
Pair Intersections,Set Specification
Set Inclusion,Standardized Accounts
Empty Set,Set Specification
Unordered Pairs,Set Specification
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Alphabets,Lists
Functions,Relations
Set Dualities,Pair Intersections
Set Dualities,Pair Unions
Set Dualities,Set Complements
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Order
Recursion Theorem,Peano Axioms
Standardized Accounts,Accounts
Unordered Triples,Pair Unions
Set Complements,Empty Set
Set Complements,Set Differences
Function Inverses,Function Composites
Function Inverses,Function Images
Natural Order,Peano Axioms
Peano Axioms,Natural Induction
Accounts,Deductions
Function Composites,Functions
Function Images,Functions
Natural Induction,Natural Numbers
Deductions,Quantified Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
