name,need
Best Tree Distribution Approximators,Tree Distribution Approximators
Tree Distribution Approximators,Distribution Approximation
Tree Distribution Approximators,Relative Entropy
Tree Distribution Approximators,Tree Distributions
Distribution Approximation,Approximation
Distribution Approximation,Probability Distributions
Relative Entropy,Cross Entropy
Relative Entropy,Entropy
Relative Entropy,Similarity Functions
Tree Distributions,Rooted Tree Distributions
Approximation,Optimization
Approximation,Similarity Functions
Probability Distributions,Intervals
Probability Distributions,Probability Outcomes
Probability Distributions,Real Summation
Cross Entropy,Logarithm
Cross Entropy,Probability Distributions
Entropy,Logarithm
Entropy,Probability Distributions
Similarity Functions,Metrics
Rooted Tree Distributions,Conditional Distributions
Rooted Tree Distributions,Rooted Trees
Optimization,Total Orders
Intervals,Real Numbers
Probability Outcomes,Cardinality
Probability Outcomes,Probability
Real Summation,Natural Summation
Real Summation,Real Numbers
Logarithm,Real Numbers
Metrics,Distance
Metrics,Real Numbers
Conditional Distributions,Conditional Event Probability
Conditional Distributions,Marginal Distributions
Conditional Distributions,Probability Distributions
Rooted Trees,Trees
Total Orders,Partial Orders
Total Orders,Set Specification
Real Numbers,Rational Numbers
Cardinality,Injective Functions
Cardinality,Natural Numbers
Probability,Common Sense
Natural Summation,Arithmetic
Natural Summation,Family Operations
Distance,Length Common Notions
Conditional Event Probability,Event Probabilities
Marginal Distributions,Direct Products
Marginal Distributions,Probability Distributions
Trees,Graphs
Trees,Set Operations
Partial Orders,Relation Properties
Partial Orders,Set Specification
Set Specification,Sentences
Set Specification,Set Inclusion
Rational Numbers,Integer Numbers
Injective Functions,Functions
Natural Numbers,Functions
Arithmetic,Natural Numbers
Arithmetic,Operations
Family Operations,Algebras
Family Operations,Families
Event Probabilities,Probability Distributions
Event Probabilities,Probability Events
Event Probabilities,Set Operations
Direct Products,Natural Families
Direct Products,Natural Order
Graphs,Relations
Set Operations,Algebras
Relation Properties,Relations
Sentences,Sets
Set Inclusion,Set Equality
Integer Numbers,Solving Equations
Functions,Relations
Operations,Functions
Algebras,Operations
Families,Functions
Families,Set Specification
Probability Events,Probability Outcomes
Probability Events,Set Inclusion
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Relations,Ordered Pairs
Relations,Set Inclusion
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Solving Equations,Arithmetic
Solving Equations,Equations
Ordered Pairs,Sets
Identity,Objects
Equations,Identity
