name,need
K-Trees,Chordal Graphs
Chordal Graphs,Graph Paths
Graph Paths,Direct Products
Graph Paths,Set Unions
Graph Paths,Undirected Graphs
Direct Products,Natural Difference
Direct Products,Natural Families
Direct Products,Natural Order
Set Unions,Set Specification
Undirected Graphs,Finite Sets
Undirected Graphs,Unordered Pairs
Natural Difference,Natural Addition
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Set Specification,Sentences
Set Specification,Set Inclusion
Finite Sets,Equivalent Sets
Unordered Pairs,Set Specification
Natural Addition,Natural Numbers
Families,Functions
Families,Power Set
Natural Numbers,Functions
Sentences,Sets
Set Inclusion,Set Equality
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Numbers
Functions,Relations
Power Set,Set Inclusion
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Equivalence Relations,Relations
Function Inverses,Function Composites
Function Inverses,Injective Functions
Function Inverses,Surjective Functions
Relations,Ordered Pairs
Identity,Objects
Function Composites,Functions
Injective Functions,Functions
Surjective Functions,Functions
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Empty Set,Set Inclusion
Empty Set,Set Specification
