name,need
Matroids,Subset Algebras
Subset Algebras,Cardinality
Subset Algebras,Set Operations
Subset Algebras,Subset Systems
Cardinality,Injective Functions
Cardinality,Natural Numbers
Set Operations,Algebras
Set Operations,Set Intersections
Set Operations,Set Symmetric Differences
Set Operations,Set Unions
Subset Systems,Ordered Pairs
Subset Systems,Set Powers
Injective Functions,Functions
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Algebras,Operations
Set Intersections,Pair Intersections
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Set Unions,Empty Set
Set Unions,Unordered Pairs
Ordered Pairs,Unordered Triples
Set Powers,Unordered Triples
Functions,Relations
Empty Set,Set Specification
Operations,Functions
Pair Intersections,Set Specification
Set Complements,Empty Set
Set Complements,Set Differences
Unordered Pairs,Set Specification
Unordered Triples,Pair Unions
Relations,Cartesian Products
Set Specification,Set Inclusion
Set Differences,Set Specification
Pair Unions,Set Unions
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
