name,need
Mutual Information Graph,Graphs
Mutual Information Graph,Mutual Information
Graphs,Relations
Mutual Information,Relative Entropy
Relations,Ordered Pairs
Relative Entropy,Cross Entropy
Relative Entropy,Entropy
Ordered Pairs,Sets
Cross Entropy,Logarithm
Cross Entropy,Probability Distributions
Entropy,Probability Distributions
Entropy,Logarithm
Sets,Objects
Logarithm,Real Numbers
Probability Distributions,Real Numbers
Probability Distributions,Summation
Probability Distributions,Probability Outcomes
Real Numbers,Integer Numbers
Probability Outcomes,Probability
Probability Outcomes,Sets
Probability Outcomes,Cardinality
Integer Numbers,Solving Equations
Cardinality,Natural Numbers
Solving Equations,Arithmetic
Solving Equations,Equations
Natural Numbers,Functions
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
Functions,Relations
Operations,Functions
