name,need
Entropy,Probability Distributions
Entropy,Logarithm
Probability Distributions,Real Summation
Probability Distributions,Probability Outcomes
Logarithm,Real Numbers
Real Summation,Natural Summation
Real Summation,Real Numbers
Probability Outcomes,Probability
Probability Outcomes,Cardinality
Real Numbers,Integer Numbers
Natural Summation,Arithmetic
Natural Summation,Direct Products
Cardinality,Natural Numbers
Integer Numbers,Solving Equations
Arithmetic,Natural Numbers
Arithmetic,Operations
Direct Products,Natural Numbers
Natural Numbers,Functions
Solving Equations,Arithmetic
Solving Equations,Equations
Operations,Functions
Functions,Relations
Functions,Set Specification
Equations,Objects
Relations,Ordered Pairs
Set Specification,Set Extension
Ordered Pairs,Sets
Set Extension,Identity
Sets,Objects
Identity,Objects
