name,need
Set Exercises,Set Decompositions
Set Exercises,Set Dualities
Set Decompositions,Pair Intersections
Set Decompositions,Pair Unions
Set Decompositions,Set Complements
Set Dualities,Pair Intersections
Set Dualities,Pair Unions
Set Dualities,Set Complements
Pair Intersections,Set Specification
Pair Unions,Set Unions
Set Complements,Empty Set
Set Complements,Set Differences
Set Specification,Set Inclusion
Set Unions,Empty Set
Set Unions,Unordered Pairs
Empty Set,Set Specification
Set Differences,Set Specification
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Unordered Pairs,Set Specification
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
