name,need
Approximators,Real Optimizers
Approximators,Similarity Functions
Real Optimizers,Optimizers
Real Optimizers,Real Numbers
Similarity Functions,Metrics
Optimizers,Total Orders
Real Numbers,Rational Numbers
Metrics,Distance
Metrics,Real Numbers
Total Orders,Partial Orders
Rational Numbers,Integer Numbers
Distance,Length Common Notions
Partial Orders,Relations
Partial Orders,Set Specification
Integer Numbers,Equation Solutions
Relations,Ordered Pairs
Set Specification,Sentences
Set Specification,Set Inclusion
Equation Solutions,Arithmetic
Equation Solutions,Equations
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Sentences,Sets
Set Inclusion,Set Equality
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Empty Set,Set Specification
Unordered Pairs,Set Specification
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Operations,Functions
Identity,Objects
Set Intersections,Set Specification
Set Unions,Set Specification
Functions,Relations
