name,need
Linear Transformations,Linear Combinations
Linear Transformations,Transformations
Linear Combinations,Vectors
Transformations,Vectors
Vectors,Fields
Fields,Groups
Groups,Algebras
Groups,Integer Numbers
Algebras,Operations
Integer Numbers,Solving Equations
Operations,Functions
Solving Equations,Arithmetic
Solving Equations,Equations
Functions,Relations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Relations,Ordered Pairs
Relations,Set Inclusion
Natural Numbers,Functions
Identity,Objects
Ordered Pairs,Sets
Set Inclusion,Set Equality
Sets,Objects
Set Equality,Identity
Set Equality,Sets
