name,need
Classifiers,Inductors
Inductors,Datasets
Datasets,Direct Products
Direct Products,Natural Families
Direct Products,Natural Order
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Families,Functions
Families,Power Set
Natural Numbers,Functions
Functions,Relations
Power Set,Set Inclusion
Relations,Ordered Pairs
Set Inclusion,Set Equality
Ordered Pairs,Unordered Pairs
Set Equality,Identity
Set Equality,Sets
Unordered Pairs,Set Specification
Identity,Objects
Sets,Objects
Set Specification,Sentences
Set Specification,Set Inclusion
Sentences,Sets
