name,need
Composition Graphs,Directed Graphs
Composition Graphs,Function Composites
Directed Graphs,Undirected Graphs
Function Composites,Functions
Undirected Graphs,Set Numbers
Functions,Relations
Set Numbers,Finite Sets
Relations,Ordered Pair Projections
Finite Sets,Equivalent Sets
Ordered Pair Projections,Set Products
Ordered Pair Projections,Set Unions
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Order
Set Products,Ordered Pairs
Set Products,Set Powers
Set Unions,Empty Set
Set Unions,Unordered Pairs
Equivalence Relations,Partitions
Equivalence Relations,Relations
Function Inverses,Function Composites
Function Inverses,Function Images
Natural Order,Peano Axioms
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Empty Set,Set Specification
Unordered Pairs,Set Specification
Partitions,Set Intersections
Partitions,Set Unions
Function Images,Functions
Peano Axioms,Natural Induction
Unordered Triples,Pair Unions
Set Specification,Set Equality
Set Intersections,Empty Set
Set Intersections,Pair Intersections
Natural Induction,Natural Numbers
Pair Unions,Set Unions
Set Equality,Set Inclusion
Pair Intersections,Set Specification
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Set Inclusion,Deductions
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Set Differences,Set Specification
Successor Sets,Pair Unions
Deductions,Quantified Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
