name,need
Threshold Graphs,Real Functions
Threshold Graphs,Split Graphs
Real Functions,Intervals
Split Graphs,Chordal Graphs
Split Graphs,Partitions
Intervals,Real Numbers
Chordal Graphs,Absolute Value
Chordal Graphs,Undirected Paths
Partitions,Set Operations
Real Numbers,Rational Numbers
Absolute Value,Length
Absolute Value,Natural Differences
Absolute Value,Real Numbers
Undirected Paths,Direct Products
Undirected Paths,Undirected Graphs
Set Operations,Algebras
Set Operations,Set Intersections
Set Operations,Set Symmetric Differences
Set Operations,Set Unions
Rational Numbers,Integer Numbers
Natural Differences,Natural Sums
Direct Products,Natural Families
Direct Products,Natural Order
Undirected Graphs,Finite Sets
Algebras,Operations
Set Intersections,Pair Intersections
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Set Unions,Empty Set
Set Unions,Unordered Pairs
Integer Numbers,Zero
Natural Sums,Natural Numbers
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Finite Sets,Equivalent Sets
Operations,Functions
Pair Intersections,Set Specification
Set Complements,Empty Set
Set Complements,Set Differences
Empty Set,Set Specification
Unordered Pairs,Set Specification
Zero,Equation Solutions
Zero,Natural Numbers
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Families,Functions
Families,Set Powers
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Numbers
Functions,Relations
Set Specification,Set Inclusion
Set Differences,Set Specification
Equation Solutions,Identities
Set Powers,Unordered Triples
Equivalence Relations,Relations
Function Inverses,Function Composites
Function Inverses,Injective Functions
Function Inverses,Surjective Functions
Relations,Cartesian Products
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Identities,Names
Unordered Triples,Pair Unions
Function Composites,Functions
Injective Functions,Functions
Surjective Functions,Functions
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Definitions,Objects
Standardized Accounts,Accounts
Names,Letters
Names,Objects
Pair Unions,Set Unions
Ordered Pairs,Unordered Triples
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Sets,Names
