name,need
Monotone Classes,Sequences
Monotone Classes,Set Operations
Monotone Classes,Subset Systems
Sequences,Direct Products
Sequences,Function Composites
Sequences,Natural Numbers
Set Operations,Algebras
Set Operations,Set Intersections
Set Operations,Set Symmetric Differences
Set Operations,Set Unions
Subset Systems,Ordered Pairs
Subset Systems,Set Powers
Direct Products,Families
Function Composites,Functions
Natural Numbers,Set Intersections
Natural Numbers,Successor Sets
Algebras,Operations
Set Intersections,Pair Intersections
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Set Unions,Empty Set
Set Unions,Unordered Pairs
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Families,Functions
Functions,Relations
Successor Sets,Pair Intersections
Successor Sets,Pair Unions
Operations,Functions
Pair Intersections,Set Specification
Set Complements,Empty Set
Set Complements,Set Differences
Empty Set,Set Specification
Unordered Pairs,Set Specification
Unordered Triples,Pair Unions
Relations,Cartesian Products
Pair Unions,Set Unions
Set Specification,Set Inclusion
Set Differences,Set Specification
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
