name,need
Natural Square Roots,Natural Equations
Natural Square Roots,Square Numbers
Natural Equations,Equations
Natural Equations,Natural Order
Natural Equations,Natural Sums
Square Numbers,Natural Products
Square Numbers,Squares
Equations,Functions
Natural Order,Peano Axioms
Natural Sums,Recursion Theorem
Natural Products,Natural Sums
Squares,Geometry
Functions,Relations
Peano Axioms,Natural Induction
Recursion Theorem,Peano Axioms
Geometry,Sets
Relations,Ordered Pair Projections
Relations,Set Products
Natural Induction,Natural Numbers
Sets,Names
Ordered Pair Projections,Set Products
Ordered Pair Projections,Set Unions
Set Products,Ordered Pairs
Set Products,Set Powers
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Names,Letters
Names,Objects
Set Unions,Empty Set
Set Unions,Unordered Pairs
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Set Differences,Set Specification
Successor Sets,Pair Unions
Empty Set,Set Specification
Unordered Pairs,Set Specification
Unordered Triples,Pair Unions
Pair Unions,Set Unions
Set Intersections,Empty Set
Set Intersections,Pair Intersections
Set Specification,Set Equality
Pair Intersections,Set Specification
Set Equality,Set Inclusion
Set Inclusion,Deductions
Deductions,Quantified Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
