name,need
Norm Examples,Norms
Norms,Functionals
Functionals,Absolute Value
Functionals,Vectors
Absolute Value,Length
Absolute Value,Natural Differences
Absolute Value,Real Numbers
Vectors,Fields
Vectors,N-Dimensional Space
Natural Differences,Natural Sums
Real Numbers,Rational Numbers
Fields,Groups
Fields,Rational Numbers
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Natural Sums,Natural Numbers
Rational Numbers,Integer Numbers
Groups,Algebras
Groups,Integer Numbers
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Integer Numbers,Zero
Algebras,Operations
Empty Set,Set Equality
Empty Set,Standardized Accounts
Set Intersections,Set Specification
Set Unions,Set Specification
Zero,Equation Solutions
Zero,Natural Numbers
Operations,Functions
Set Equality,Identity
Set Equality,Sets
Set Equality,Standardized Accounts
Standardized Accounts,Accounts
Set Specification,Sentences
Set Specification,Set Inclusion
Equation Solutions,Equations
Functions,Relations
Identity,Objects
Sets,Objects
Accounts,Deductions
Accounts,Objects
Accounts,Quantified Statements
Sentences,Sets
Set Inclusion,Set Equality
Set Inclusion,Standardized Accounts
Equations,Identity
Relations,Ordered Pairs
Deductions,Logical Statements
Quantified Statements,Logical Statements
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Logical Statements,Statements
Unordered Pairs,Set Specification
Statements,Objects
